variant,screen_date,ticker,Region,base_score,residual_score,vcp_score,Final_Score,Total_Score
Baseline,2019-09-30,JP4.T,JP,0.75,0.75,0.5625,0.75,0.02183944921481576
Baseline,2019-09-30,JP3.T,JP,0.625,0.625,0.5416666666666666,0.625,-0.15337203649423706
Baseline,2019-09-30,JP1.T,JP,0.5,0.5,0.25,0.5,-0.20538227837930773
Baseline,2019-09-30,JP6.T,JP,0.375,0.375,0.14583333333333334,0.375,-0.3955592018582055
Baseline,2019-12-31,US1,US,1.0,1.0,0.625,1.0,0.7371931510542875
Baseline,2019-12-31,US3,US,0.875,0.375,0.4791666666666667,0.875,0.6747088862310425
Baseline,2019-12-31,US7,US,0.75,0.75,0.3958333333333333,0.75,0.09677087087911014
Baseline,2019-12-31,US4,US,0.625,0.875,0.4166666666666667,0.625,-0.169139675648988
Baseline,2019-12-31,US2,US,0.5,0.5,0.3125,0.5,-0.17146249956794257
Baseline,2019-12-31,US6,US,0.375,0.125,0.14583333333333334,0.375,-0.19146027053075165
Baseline,2019-12-31,JP0.T,JP,1.0,0.75,0.5625,1.0,0.8149350083421064
Baseline,2019-12-31,JP4.T,JP,0.875,1.0,0.5,0.875,0.7122286535723154
Baseline,2019-12-31,JP3.T,JP,0.75,0.875,0.5208333333333334,0.75,0.34905638166394226
Baseline,2019-12-31,JP5.T,JP,0.625,0.25,0.21875,0.625,0.053739785383209004
Baseline,2019-12-31,JP6.T,JP,0.5,0.5,0.3020833333333333,0.5,-0.1950535920870513
Baseline,2019-12-31,JP1.T,JP,0.375,0.625,0.6458333333333334,0.375,-0.39248847531900843
Baseline,2020-03-31,US1,US,1.0,1.0,0.5208333333333334,1.0,1.0199840976684584
Baseline,2020-03-31,US3,US,0.875,0.5,0.3333333333333333,0.875,0.4365823369877292
Baseline,2020-03-31,US5,US,0.75,0.875,0.5416666666666666,0.75,0.2358008732106182
Baseline,2020-03-31,US6,US,0.625,0.25,0.375,0.625,0.024754782589777424
Baseline,2020-03-31,US4,US,0.5,0.75,0.5625,0.5,-0.14059889543304888
Baseline,2020-03-31,US7,US,0.375,0.625,0.4583333333333333,0.375,-0.21848303782670256
Baseline,2020-03-31,JP0.T,JP,1.0,0.625,0.4895833333333333,1.0,0.8702436046730162
Baseline,2020-03-31,JP3.T,JP,0.875,0.75,0.3854166666666667,0.875,0.4131815064232725
Baseline,2020-03-31,JP4.T,JP,0.75,0.875,0.5520833333333334,0.75,0.31439768499863907
Baseline,2020-03-31,JP1.T,JP,0.625,1.0,0.46875,0.625,-0.029534062599745198
Baseline,2020-03-31,JP5.T,JP,0.5,0.5,0.3854166666666667,0.5,-0.047234607639768514
Baseline,2020-03-31,JP6.T,JP,0.375,0.375,0.5104166666666666,0.375,-0.39627484503803145
Baseline,2020-06-30,US1,US,1.0,0.875,0.25,1.0,0.6352659932863662
Baseline,2020-06-30,US5,US,0.875,1.0,0.5625,0.875,0.6242231319234794
Baseline,2020-06-30,US3,US,0.75,0.5,0.21875,0.75,0.517921557649943
Baseline,2020-06-30,US2,US,0.625,0.375,0.3645833333333333,0.625,-0.13321357554498997
Baseline,2020-06-30,US6,US,0.5,0.625,0.6875,0.5,-0.29340276302740553
Baseline,2020-06-30,US7,US,0.375,0.75,0.625,0.375,-0.33312982579214045
Baseline,2020-06-30,JP3.T,JP,1.0,0.875,0.4791666666666667,1.0,0.6689612578926519
Baseline,2020-06-30,JP0.T,JP,0.875,0.625,0.4791666666666667,0.875,0.6362855339830281
Baseline,2020-06-30,JP4.T,JP,0.75,0.75,0.3958333333333333,0.75,0.25386209187839137
Baseline,2020-06-30,JP1.T,JP,0.625,1.0,0.3541666666666667,0.625,0.2093108571347272
Baseline,2020-06-30,JP2.T,JP,0.5,0.5,0.3645833333333333,0.5,-0.04537127710087311
Baseline,2020-06-30,JP5.T,JP,0.375,0.375,0.4791666666666667,0.375,-0.23204494021675034
Baseline,2020-09-30,US3,US,1.0,0.875,0.3541666666666667,1.0,0.8342337850570172
Baseline,2020-09-30,US5,US,0.875,1.0,0.28125,0.875,0.592082673008602
Baseline,2020-09-30,US1,US,0.75,0.75,0.6666666666666666,0.75,0.5478154245817124
Baseline,2020-09-30,US6,US,0.625,0.5,0.4479166666666667,0.625,0.07671295377697974
Baseline,2020-09-30,US7,US,0.5,0.375,0.2708333333333333,0.5,-0.29387673670085146
Baseline,2020-09-30,US4,US,0.375,0.625,0.4375,0.375,-0.3076758519602001
Baseline,2020-09-30,JP4.T,JP,1.0,1.0,0.5208333333333334,1.0,0.5971064368515789
Baseline,2020-09-30,JP3.T,JP,0.875,0.625,0.4166666666666667,0.875,0.5516040337364303
Baseline,2020-09-30,JP2.T,JP,0.75,0.75,0.4583333333333333,0.75,0.5494905404749173
Baseline,2020-09-30,JP1.T,JP,0.625,0.875,0.5833333333333334,0.625,0.35193281767887596
Baseline,2020-09-30,JP0.T,JP,0.5,0.25,0.14583333333333334,0.5,-0.12032757180635012
Baseline,2020-09-30,JP5.T,JP,0.375,0.375,0.3541666666666667,0.375,-0.35271131105913
Baseline,2020-12-31,US5,US,1.0,0.875,0.2916666666666667,1.0,1.0298856093207904
Baseline,2020-12-31,US1,US,0.875,1.0,0.6041666666666666,0.875,0.9796880603938685
Baseline,2020-12-31,US3,US,0.75,0.5,0.4895833333333333,0.75,0.054671261792616
Baseline,2020-12-31,US7,US,0.625,0.625,0.4166666666666667,0.625,0.04709269340378387
Baseline,2020-12-31,US6,US,0.5,0.75,0.40625,0.5,-0.06486686977601533
Baseline,2020-12-31,US4,US,0.375,0.375,0.28125,0.375,-0.522490706481652
Baseline,2020-12-31,JP2.T,JP,1.0,1.0,0.53125,1.0,0.8804100496395324
Baseline,2020-12-31,JP4.T,JP,0.875,0.875,0.5729166666666666,0.875,0.6739792525406838
Baseline,2020-12-31,JP1.T,JP,0.75,0.5,0.375,0.75,0.10273377346278584
Baseline,2020-12-31,JP3.T,JP,0.625,0.75,0.6979166666666666,0.625,0.09109434123418325
Baseline,2020-12-31,JP0.T,JP,0.5,0.375,0.22916666666666666,0.5,0.008117311897360875
Baseline,2020-12-31,JP5.T,JP,0.375,0.625,0.4479166666666667,0.375,-0.18826981972160584
Baseline,2021-03-31,US3,US,1.0,1.0,0.625,1.0,1.0287534343035367
Baseline,2021-03-31,US7,US,0.875,0.875,0.3958333333333333,0.875,0.7217939860567246
Baseline,2021-03-31,US1,US,0.75,0.75,0.4166666666666667,0.75,0.12378649110907877
Baseline,2021-03-31,US5,US,0.625,0.25,0.4375,0.625,0.04659515592769123
Baseline,2021-03-31,US4,US,0.5,0.5,0.3333333333333333,0.5,-0.304880200368058
Baseline,2021-03-31,US6,US,0.375,0.375,0.5,0.375,-0.40566811565105687
Baseline,2021-03-31,JP2.T,JP,1.0,0.75,0.3958333333333333,1.0,1.0318614379505626
Baseline,2021-03-31,JP3.T,JP,0.875,0.875,0.6041666666666666,0.875,0.4567315055434124
Baseline,2021-03-31,JP4.T,JP,0.75,0.625,0.4375,0.75,0.4235833797658273
Baseline,2021-03-31,JP0.T,JP,0.625,0.375,0.5,0.625,-0.04397760941581029
Baseline,2021-03-31,JP5.T,JP,0.5,0.25,0.17708333333333334,0.5,-0.2969762559675282
Baseline,2021-03-31,JP7.T,JP,0.375,0.125,0.20833333333333334,0.375,-0.40167965965618135
Baseline,2021-06-30,US3,US,1.0,1.0,0.5520833333333334,1.0,1.0218611856244484
Baseline,2021-06-30,US1,US,0.875,0.875,0.34375,0.875,0.45295065671787205
Baseline,2021-06-30,US4,US,0.75,0.75,0.2604166666666667,0.75,0.3309051311742085
Baseline,2021-06-30,US7,US,0.625,0.625,0.5416666666666666,0.625,0.3117919127735437
Baseline,2021-06-30,US5,US,0.5,0.125,0.4375,0.5,-0.2114970275276083
Baseline,2021-06-30,US6,US,0.375,0.5,0.3125,0.375,-0.5587162083543422
Baseline,2021-06-30,JP3.T,JP,1.0,0.875,0.5,1.0,1.295600737885372
Baseline,2021-06-30,JP0.T,JP,0.875,0.75,0.5729166666666666,0.875,0.343230342859276
Baseline,2021-06-30,JP2.T,JP,0.75,0.5,0.3645833333333333,0.75,0.10707837159530409
Baseline,2021-06-30,JP1.T,JP,0.625,1.0,0.625,0.625,-0.08925454863619761
Baseline,2021-06-30,JP5.T,JP,0.5,0.125,0.16666666666666666,0.5,-0.2781851430586062
Baseline,2021-06-30,JP7.T,JP,0.375,0.375,0.3854166666666667,0.375,-0.3007155059939056
Baseline,2021-09-30,US3,US,1.0,0.875,0.40625,1.0,0.9424296457149071
Baseline,2021-09-30,US1,US,0.875,1.0,0.53125,0.875,0.7500290344759476
Baseline,2021-09-30,US7,US,0.75,0.375,0.23958333333333334,0.75,0.3149229537480751
Baseline,2021-09-30,US2,US,0.625,0.625,0.4479166666666667,0.625,-0.19303090752083266
Baseline,2021-09-30,US6,US,0.5,0.75,0.4895833333333333,0.5,-0.217371963432426
Baseline,2021-09-30,US4,US,0.375,0.25,0.3854166666666667,0.375,-0.3952330748321676
Baseline,2021-09-30,JP1.T,JP,1.0,0.875,0.3645833333333333,1.0,0.9414457477967987
Baseline,2021-09-30,JP3.T,JP,0.875,0.75,0.3541666666666667,0.875,0.6761337905722715
Baseline,2021-09-30,JP0.T,JP,0.75,1.0,0.46875,0.75,0.6604393689476727
Baseline,2021-09-30,JP6.T,JP,0.625,0.625,0.5625,0.625,-0.18436810488971483
Baseline,2021-09-30,JP5.T,JP,0.5,0.125,0.3229166666666667,0.5,-0.2747267047755921
Baseline,2021-09-30,JP4.T,JP,0.375,0.375,0.375,0.375,-0.5829929517514444
Baseline,2021-12-31,US3,US,1.0,0.875,0.5,1.0,0.8499237435530032
Baseline,2021-12-31,US1,US,0.875,1.0,0.6666666666666666,0.875,0.801136088832435
Baseline,2021-12-31,US7,US,0.75,0.5,0.375,0.75,0.16909954603796729
Baseline,2021-12-31,US4,US,0.625,0.25,0.10416666666666667,0.625,0.03543951058148638
Baseline,2021-12-31,US6,US,0.5,0.75,0.6458333333333334,0.5,-0.09071187484491676
Baseline,2021-12-31,US2,US,0.375,0.375,0.3854166666666667,0.375,-0.47450608435287406
Baseline,2021-12-31,JP0.T,JP,1.0,1.0,0.5,1.0,0.8322308176268898
Baseline,2021-12-31,JP1.T,JP,0.875,0.75,0.3958333333333333,0.875,0.7472291727623425
Baseline,2021-12-31,JP6.T,JP,0.75,0.875,0.625,0.75,0.29645312544126246
Baseline,2021-12-31,JP3.T,JP,0.625,0.625,0.4583333333333333,0.625,0.1587826952567939
Baseline,2021-12-31,JP5.T,JP,0.5,0.125,0.3020833333333333,0.5,-0.12926613480085952
Baseline,2021-12-31,JP7.T,JP,0.375,0.375,0.25,0.375,-0.3825895796434202
Baseline,2022-03-31,US1,US,1.0,1.0,0.3333333333333333,1.0,0.7856757215467
Baseline,2022-03-31,US3,US,0.875,0.875,0.625,0.875,0.7671004426284467
Baseline,2022-03-31,US7,US,0.75,0.75,0.34375,0.75,0.26666965211740734
Baseline,2022-03-31,US6,US,0.625,0.5,0.5833333333333334,0.625,0.017340442698798753
Baseline,2022-03-31,US2,US,0.5,0.375,0.5208333333333334,0.5,-0.32419541206002706
Baseline,2022-03-31,US4,US,0.375,0.125,0.16666666666666666,0.375,-0.391006716566421
Baseline,2022-03-31,JP1.T,JP,1.0,1.0,0.4583333333333333,1.0,1.273795303475008
Baseline,2022-03-31,JP6.T,JP,0.875,0.875,0.5625,0.875,0.5126786401260813
Baseline,2022-03-31,JP0.T,JP,0.75,0.75,0.3854166666666667,0.75,0.13553000536339216
Baseline,2022-03-31,JP3.T,JP,0.625,0.25,0.40625,0.625,-0.1513035145242034
Baseline,2022-03-31,JP7.T,JP,0.5,0.375,0.19791666666666666,0.5,-0.3297355516130342
Baseline,2022-03-31,JP5.T,JP,0.375,0.125,0.21875,0.375,-0.3542123788354738
Baseline,2022-06-30,US2,US,1.0,1.0,0.6041666666666666,1.0,0.4468444769306326
Baseline,2022-06-30,US6,US,0.875,0.375,0.3125,0.875,0.37187706296979894
Baseline,2022-06-30,US7,US,0.75,0.5,0.3541666666666667,0.75,0.3262976237806216
Baseline,2022-06-30,US1,US,0.625,0.75,0.6458333333333334,0.625,0.3142966071341522
Baseline,2022-06-30,US3,US,0.5,0.25,0.3125,0.5,-0.2079120072197633
Baseline,2022-06-30,US5,US,0.375,0.875,0.4583333333333333,0.375,-0.2262928762144309
Baseline,2022-06-30,JP1.T,JP,1.0,1.0,0.5104166666666666,1.0,1.3247088630945902
Baseline,2022-06-30,JP6.T,JP,0.875,0.875,0.6145833333333334,0.875,0.7186407008475454
Baseline,2022-06-30,JP0.T,JP,0.75,0.375,0.3645833333333333,0.75,-0.14669182493995425
Baseline,2022-06-30,JP7.T,JP,0.625,0.625,0.40625,0.625,-0.23986197714866847
Baseline,2022-06-30,JP2.T,JP,0.5,0.5,0.46875,0.5,-0.35234091808509815
Baseline,2022-06-30,JP4.T,JP,0.375,0.75,0.3645833333333333,0.375,-0.40675562386409164
Baseline,2022-09-30,US2,US,1.0,1.0,0.5,1.0,0.6688033204054938
Baseline,2022-09-30,US6,US,0.875,0.875,0.3854166666666667,0.875,0.45915323499489125
Baseline,2022-09-30,US1,US,0.75,0.75,0.6145833333333334,0.75,0.38040558373264566
Baseline,2022-09-30,US4,US,0.625,0.25,0.3645833333333333,0.625,0.25891100198240824
Baseline,2022-09-30,US5,US,0.5,0.625,0.4166666666666667,0.5,-0.1435330770403368
Baseline,2022-09-30,US7,US,0.375,0.5,0.2604166666666667,0.375,-0.4585251026469378
Baseline,2022-09-30,JP1.T,JP,1.0,1.0,0.40625,1.0,1.2433139038514642
Baseline,2022-09-30,JP6.T,JP,0.875,0.75,0.5104166666666666,0.875,0.33690160757175036
Baseline,2022-09-30,JP7.T,JP,0.75,0.625,0.5729166666666666,0.75,0.13414532093918888
Baseline,2022-09-30,JP2.T,JP,0.625,0.375,0.15625,0.625,-0.09502243837859711
Baseline,2022-09-30,JP4.T,JP,0.5,0.875,0.6979166666666666,0.5,-0.12328954272517342
Baseline,2022-09-30,JP0.T,JP,0.375,0.5,0.2916666666666667,0.375,-0.37876767025452396
Baseline,2022-12-30,US2,US,1.0,0.875,0.5729166666666666,1.0,0.7937478936381406
Baseline,2022-12-30,US6,US,0.875,1.0,0.5729166666666666,0.875,0.7860134608427272
Baseline,2022-12-30,US5,US,0.75,0.75,0.14583333333333334,0.75,0.500589658371068
Baseline,2022-12-30,US4,US,0.625,0.625,0.46875,0.625,0.01563732442287477
Baseline,2022-12-30,US0,US,0.5,0.375,0.25,0.5,-0.29103553150244077
Baseline,2022-12-30,US7,US,0.375,0.5,0.46875,0.375,-0.4266559671843158
Baseline,2022-12-30,JP1.T,JP,1.0,1.0,0.3333333333333333,1.0,1.5552141867823666
Baseline,2022-12-30,JP2.T,JP,0.875,0.375,0.1875,0.875,0.3595401552969313
Baseline,2022-12-30,JP4.T,JP,0.75,0.875,0.5625,0.75,-0.007232586475729788
Baseline,2022-12-30,JP6.T,JP,0.625,0.625,0.3125,0.625,-0.09093294476786037
Baseline,2022-12-30,JP7.T,JP,0.5,0.75,0.3958333333333333,0.5,-0.14533071682992277
Baseline,2022-12-30,JP3.T,JP,0.375,0.125,0.4270833333333333,0.375,-0.3381276961021413
Baseline,2023-03-31,US4,US,1.0,0.875,0.6875,1.0,0.8878663851458698
Baseline,2023-03-31,US6,US,0.875,1.0,0.4791666666666667,0.875,0.7937960865997169
Baseline,2023-03-31,US2,US,0.75,0.75,0.4166666666666667,0.75,0.3283103789061229
Baseline,2023-03-31,US7,US,0.625,0.625,0.5625,0.625,0.10304670688855425
Baseline,2023-03-31,US0,US,0.5,0.375,0.3958333333333333,0.5,-0.3939519777279701
Baseline,2023-03-31,US1,US,0.375,0.5,0.2604166666666667,0.375,-0.4477370165927324
Baseline,2023-03-31,JP1.T,JP,1.0,0.875,0.25,1.0,1.1904783258438776
Baseline,2023-03-31,JP4.T,JP,0.875,1.0,0.375,0.875,0.4827070269420607
Baseline,2023-03-31,JP3.T,JP,0.75,0.75,0.5,0.75,0.06571835418482568
Baseline,2023-03-31,JP2.T,JP,0.625,0.125,0.3333333333333333,0.625,-0.22683842787024022
Baseline,2023-03-31,JP7.T,JP,0.5,0.5,0.4791666666666667,0.5,-0.2678401435113592
Baseline,2023-03-31,JP0.T,JP,0.375,0.625,0.4583333333333333,0.375,-0.28434995616601944
Baseline,2023-06-30,US6,US,1.0,1.0,0.4479166666666667,1.0,1.3484485856109076
Baseline,2023-06-30,US4,US,0.875,0.875,0.4479166666666667,0.875,0.3218637046424033
Baseline,2023-06-30,US2,US,0.75,0.625,0.46875,0.75,0.2642724522716735
Baseline,2023-06-30,US1,US,0.625,0.5,0.6145833333333334,0.625,-0.2599796280249556
Baseline,2023-06-30,US0,US,0.5,0.75,0.3645833333333333,0.5,-0.2644992871417009
Baseline,2023-06-30,US7,US,0.375,0.375,0.4270833333333333,0.375,-0.31388383858379904
Baseline,2023-06-30,JP0.T,JP,1.0,1.0,0.4270833333333333,1.0,1.078343850462406
Baseline,2023-06-30,JP4.T,JP,0.875,0.75,0.3645833333333333,0.875,0.6556027400228547
Baseline,2023-06-30,JP1.T,JP,0.75,0.875,0.59375,0.75,0.5232548039623881
Baseline,2023-06-30,JP3.T,JP,0.625,0.625,0.53125,0.625,0.05126031097104512
Baseline,2023-06-30,JP2.T,JP,0.5,0.125,0.28125,0.5,-0.3715416356456381
Baseline,2023-06-30,JP5.T,JP,0.375,0.375,0.3020833333333333,0.375,-0.4602706083109189
Baseline,2023-09-29,US6,US,1.0,1.0,0.4583333333333333,1.0,1.1609242785812284
Baseline,2023-09-29,US5,US,0.875,0.375,0.4166666666666667,0.875,0.2832078741794113
Baseline,2023-09-29,US7,US,0.75,0.75,0.25,0.75,0.1935822651006217
Baseline,2023-09-29,US0,US,0.625,0.625,0.4791666666666667,0.625,-0.056661438561504185
Baseline,2023-09-29,US4,US,0.5,0.5,0.3958333333333333,0.5,-0.1779063699977034
Baseline,2023-09-29,US1,US,0.375,0.875,0.4791666666666667,0.375,-0.2926349734279682
Baseline,2023-09-29,JP0.T,JP,1.0,0.5,0.3125,1.0,0.6685410402063989
Baseline,2023-09-29,JP3.T,JP,0.875,0.875,0.25,0.875,0.6427470021481473
Baseline,2023-09-29,JP7.T,JP,0.75,1.0,0.6041666666666666,0.75,0.5537265031110973
Baseline,2023-09-29,JP4.T,JP,0.625,0.75,0.4791666666666667,0.625,0.2569722135735076
Baseline,2023-09-29,JP1.T,JP,0.5,0.625,0.5208333333333334,0.5,0.19001209265919694
Baseline,2023-09-29,JP5.T,JP,0.375,0.375,0.4166666666666667,0.375,-0.3549733977989222
Baseline,2023-12-29,US1,US,1.0,1.0,0.53125,1.0,1.328080051090776
Baseline,2023-12-29,US5,US,0.875,0.5,0.375,0.875,0.1817514958647048
Baseline,2023-12-29,US3,US,0.75,0.25,0.21875,0.75,0.07998212414116684
Baseline,2023-12-29,US0,US,0.625,0.375,0.3333333333333333,0.625,0.06255689337653678
Baseline,2023-12-29,US7,US,0.5,0.625,0.6041666666666666,0.5,-0.12402886526116819
Baseline,2023-12-29,US6,US,0.375,0.875,0.375,0.375,-0.17533403259759484
Baseline,2023-12-29,JP3.T,JP,1.0,1.0,0.5520833333333334,1.0,0.7876986403797961
Baseline,2023-12-29,JP0.T,JP,0.875,0.625,0.16666666666666666,0.875,0.5028872033661116
Baseline,2023-12-29,JP7.T,JP,0.75,0.75,0.34375,0.75,0.47924674431317466
Baseline,2023-12-29,JP1.T,JP,0.625,0.375,0.4791666666666667,0.625,0.11269462244905352
Baseline,2023-12-29,JP5.T,JP,0.5,0.125,0.3333333333333333,0.5,-0.3076427562020248
Baseline,2023-12-29,JP4.T,JP,0.375,0.25,0.25,0.375,-0.36713392951916657
Baseline,2024-03-29,US1,US,1.0,0.875,0.6770833333333334,1.0,1.2429319458833754
Baseline,2024-03-29,US7,US,0.875,0.75,0.3541666666666667,0.875,0.2400904189823712
Baseline,2024-03-29,US2,US,0.75,1.0,0.6979166666666666,0.75,0.04861504537733069
Baseline,2024-03-29,US5,US,0.625,0.625,0.4166666666666667,0.625,-0.01958543881343347
Baseline,2024-03-29,US3,US,0.5,0.25,0.34375,0.5,-0.10395795745191219
Baseline,2024-03-29,US4,US,0.375,0.5,0.40625,0.375,-0.43237560415047466
Baseline,2024-03-29,JP7.T,JP,1.0,0.75,0.3645833333333333,1.0,0.8696280973603201
Baseline,2024-03-29,JP6.T,JP,0.875,1.0,0.3645833333333333,0.875,0.5179631488428533
Baseline,2024-03-29,JP0.T,JP,0.75,0.5,0.2604166666666667,0.75,0.2600116636604793
Baseline,2024-03-29,JP1.T,JP,0.625,0.625,0.4270833333333333,0.625,0.0852663829968082
Baseline,2024-03-29,JP5.T,JP,0.5,0.125,0.4270833333333333,0.5,-0.2257761922034267
Baseline,2024-03-29,JP3.T,JP,0.375,0.875,0.4895833333333333,0.375,-0.47542725317705026
Baseline,2024-06-28,US1,US,1.0,0.875,0.4583333333333333,1.0,0.9780533646530709
Baseline,2024-06-28,US7,US,0.875,0.625,0.4479166666666667,0.875,0.30064008207354503
Baseline,2024-06-28,US2,US,0.75,1.0,0.5,0.75,0.20927292925770302
Baseline,2024-06-28,US5,US,0.625,0.75,0.53125,0.625,0.08898566264710132
Baseline,2024-06-28,US4,US,0.5,0.5,0.3541666666666667,0.5,-0.07412244319874861
Baseline,2024-06-28,US3,US,0.375,0.375,0.5208333333333334,0.375,-0.18483828325634902
Baseline,2024-06-28,JP6.T,JP,1.0,1.0,0.6041666666666666,1.0,1.0367250548644253
Baseline,2024-06-28,JP1.T,JP,0.875,0.75,0.4166666666666667,0.875,0.4450647198703397
Baseline,2024-06-28,JP4.T,JP,0.75,0.625,0.6145833333333334,0.75,0.22542865195639866
Baseline,2024-06-28,JP3.T,JP,0.625,0.875,0.3958333333333333,0.625,0.024147426631854915
Baseline,2024-06-28,JP7.T,JP,0.5,0.375,0.2916666666666667,0.5,-0.06914115399431658
Baseline,2024-06-28,JP2.T,JP,0.375,0.5,0.46875,0.375,-0.39704110103754214
Baseline,2024-09-30,US2,US,1.0,1.0,0.4791666666666667,1.0,1.0884689949696167
Baseline,2024-09-30,US1,US,0.875,0.75,0.3854166666666667,0.875,0.444841280147818
Baseline,2024-09-30,US7,US,0.75,0.875,0.5104166666666666,0.75,0.3500820332229332
Baseline,2024-09-30,US3,US,0.625,0.625,0.5104166666666666,0.625,-0.058431348784947344
Baseline,2024-09-30,US4,US,0.5,0.5,0.34375,0.5,-0.3209701294275202
Baseline,2024-09-30,US6,US,0.375,0.375,0.22916666666666666,0.375,-0.38187772331941683
Baseline,2024-09-30,JP6.T,JP,1.0,0.75,0.3125,1.0,0.8645017348457382
Baseline,2024-09-30,JP3.T,JP,0.875,1.0,0.5,0.875,0.27118450524738236
Baseline,2024-09-30,JP2.T,JP,0.75,0.875,0.5625,0.75,0.123176500518377
Baseline,2024-09-30,JP7.T,JP,0.625,0.375,0.53125,0.625,0.07256633957746705
Baseline,2024-09-30,JP1.T,JP,0.5,0.625,0.6041666666666666,0.5,0.06748937453277927
Baseline,2024-09-30,JP4.T,JP,0.375,0.5,0.28125,0.375,-0.12238113580661192
Baseline,2024-12-31,US2,US,1.0,1.0,0.4583333333333333,1.0,1.066573740397991
Baseline,2024-12-31,US7,US,0.875,0.875,0.5416666666666666,0.875,0.7024775788268401
Baseline,2024-12-31,US6,US,0.75,0.625,0.625,0.75,0.026195377378230147
