variant,screen_date,trade_date,turnover
Residual_20,2023-09-29,2023-10-02,0.18337751868880356
Residual_20,2023-12-29,2024-01-01,0.17436296013565833
Residual_20,2024-03-29,2024-04-01,0.16882748329470032
Residual_20,2024-06-28,2024-07-01,0.1795351719159986
Residual_20,2024-09-30,2024-10-01,0.09467815349161182
Residual_20,2024-12-31,2025-01-01,0.012742967436324089
Residual_20,2025-03-31,2025-04-01,0.008786329901934155
Residual_20,2025-06-30,2025-07-01,0.09583008283585527
Residual_20,2025-09-30,2025-10-01,0.17731690744406076
Residual_30,2018-03-30,2018-04-02,0.0
Residual_30,2018-06-29,2018-07-02,0.0
Residual_30,2018-09-28,2018-10-01,0.0
Residual_30,2018-12-31,2019-01-01,0.5
Residual_30,2019-03-29,2019-04-01,0.18398093172258842
Residual_30,2019-06-28,2019-07-01,0.17521416535369094
Residual_30,2019-09-30,2019-10-01,0.2541675954186442
Residual_30,2019-12-31,2020-01-01,0.009936203743939345
Residual_30,2020-03-31,2020-04-01,0.17596741423212003
Residual_30,2020-06-30,2020-07-01,0.17088575058702526
Residual_30,2020-09-30,2020-10-01,0.08849673592023723
Residual_30,2020-12-31,2021-01-01,0.009419874697892718
Residual_30,2021-03-31,2021-04-01,0.08832446629419215
Residual_30,2021-06-30,2021-07-01,0.1698102752033091
Residual_30,2021-09-30,2021-10-01,0.25570860564388326
Residual_30,2021-12-31,2022-01-03,0.08537328834038285
Residual_30,2022-03-31,2022-04-01,0.09762118816493359
Residual_30,2022-06-30,2022-07-01,0.1747110036247188
Residual_30,2022-09-30,2022-10-03,0.09013092532425046
Residual_30,2022-12-30,2023-01-02,0.17660004090563622
Residual_30,2023-03-31,2023-04-03,0.17678647594162003
Residual_30,2023-06-30,2023-07-03,0.09075955744357438
Residual_30,2023-09-29,2023-10-02,0.18337751868880356
Residual_30,2023-12-29,2024-01-01,0.17436296013565836
Residual_30,2024-03-29,2024-04-01,0.16882748329470032
Residual_30,2024-06-28,2024-07-01,0.1795351719159986
Residual_30,2024-09-30,2024-10-01,0.09467815349161182
Residual_30,2024-12-31,2025-01-01,0.012742967436324089
Residual_30,2025-03-31,2025-04-01,0.008786329901934155
Residual_30,2025-06-30,2025-07-01,0.09583008283585527
Residual_30,2025-09-30,2025-10-01,0.17731690744406076
VCP_10,2018-03-30,2018-04-02,0.0
VCP_10,2018-06-29,2018-07-02,0.0
VCP_10,2018-09-28,2018-10-01,0.0
VCP_10,2018-12-31,2019-01-01,0.5
VCP_10,2019-03-29,2019-04-01,0.09460065053928006
VCP_10,2019-06-28,2019-07-01,0.09299477505329307
VCP_10,2019-09-30,2019-10-01,0.2574392424757961
VCP_10,2019-12-31,2020-01-01,0.09274307834229448
VCP_10,2020-03-31,2020-04-01,0.09320569598466744
VCP_10,2020-06-30,2020-07-01,0.17088575058702526
VCP_10,2020-09-30,2020-10-01,0.08849673592023723
VCP_10,2020-12-31,2021-01-01,0.009419874697892718
VCP_10,2021-03-31,2021-04-01,0.08902404121806348
VCP_10,2021-06-30,2021-07-01,0.09565628420798952
VCP_10,2021-09-30,2021-10-01,0.25570860564388326
VCP_10,2021-12-31,2022-01-03,0.08537328834038285
VCP_10,2022-03-31,2022-04-01,0.01276595223348425
VCP_10,2022-06-30,2022-07-01,0.2598203205077119
VCP_10,2022-09-30,2022-10-03,0.09013092532425046
VCP_10,2022-12-30,2023-01-02,0.1766000409056362
VCP_10,2023-03-31,2023-04-03,0.17678647594162003
VCP_10,2023-06-30,2023-07-03,0.09075955744357438
VCP_10,2023-09-29,2023-10-02,0.18337751868880356
VCP_10,2023-12-29,2024-01-01,0.09372329365443892
VCP_10,2024-03-29,2024-04-01,0.2494930544419012
VCP_10,2024-06-28,2024-07-01,0.1795351719159986
VCP_10,2024-09-30,2024-10-01,0.09467815349161182
VCP_10,2024-12-31,2025-01-01,0.012742967436324089
VCP_10,2025-03-31,2025-04-01,0.008786329901934155
VCP_10,2025-06-30,2025-07-01,0.09583008283585527
VCP_10,2025-09-30,2025-10-01,0.17731690744406076
VCP_20,2018-03-30,2018-04-02,0.0
VCP_20,2018-06-29,2018-07-02,0.0
VCP_20,2018-09-28,2018-10-01,0.0
VCP_20,2018-12-31,2019-01-01,0.5
VCP_20,2019-03-29,2019-04-01,0.09460065053928006
VCP_20,2019-06-28,2019-07-01,0.09299477505329307
VCP_20,2019-09-30,2019-10-01,0.2574392424757961
VCP_20,2019-12-31,2020-01-01,0.09274307834229448
VCP_20,2020-03-31,2020-04-01,0.09320569598466744
VCP_20,2020-06-30,2020-07-01,0.17088575058702526
VCP_20,2020-09-30,2020-10-01,0.08849673592023723
VCP_20,2020-12-31,2021-01-01,0.009419874697892718
VCP_20,2021-03-31,2021-04-01,0.08902404121806348
VCP_20,2021-06-30,2021-07-01,0.09565628420798952
VCP_20,2021-09-30,2021-10-01,0.25570860564388326
VCP_20,2021-12-31,2022-01-03,0.08537328834038285
VCP_20,2022-03-31,2022-04-01,0.01276595223348425
VCP_20,2022-06-30,2022-07-01,0.2598203205077119
VCP_20,2022-09-30,2022-10-03,0.09013092532425046
VCP_20,2022-12-30,2023-01-02,0.17660004090563622
VCP_20,2023-03-31,2023-04-03,0.17678647594162003
VCP_20,2023-06-30,2023-07-03,0.09075955744357438
VCP_20,2023-09-29,2023-10-02,0.18337751868880356
VCP_20,2023-12-29,2024-01-01,0.09372329365443892
VCP_20,2024-03-29,2024-04-01,0.2494930544419012
VCP_20,2024-06-28,2024-07-01,0.1795351719159986
VCP_20,2024-09-30,2024-10-01,0.09467815349161182
VCP_20,2024-12-31,2025-01-01,0.012742967436324089
VCP_20,2025-03-31,2025-04-01,0.008786329901934155
VCP_20,2025-06-30,2025-07-01,0.09583008283585527
VCP_20,2025-09-30,2025-10-01,0.17731690744406076
Residual_20_VCP_10,2018-03-30,2018-04-02,0.0
Residual_20_VCP_10,2018-06-29,2018-07-02,0.0
Residual_20_VCP_10,2018-09-28,2018-10-01,0.0
Residual_20_VCP_10,2018-12-31,2019-01-01,0.5
Residual_20_VCP_10,2019-03-29,2019-04-01,0.1798427338353439
Residual_20_VCP_10,2019-06-28,2019-07-01,0.17521416535369094
Residual_20_VCP_10,2019-09-30,2019-10-01,0.25416759541864425
Residual_20_VCP_10,2019-12-31,2020-01-01,0.009936203743939345
Residual_20_VCP_10,2020-03-31,2020-04-01,0.17596741423212003
Residual_20_VCP_10,2020-06-30,2020-07-01,0.17088575058702526
Residual_20_VCP_10,2020-09-30,2020-10-01,0.08849673592023723
Residual_20_VCP_10,2020-12-31,2021-01-01,0.009419874697892718
Residual_20_VCP_10,2021-03-31,2021-04-01,0.08832446629419215
Residual_20_VCP_10,2021-06-30,2021-07-01,0.1698102752033091
Residual_20_VCP_10,2021-09-30,2021-10-01,0.25570860564388326
Residual_20_VCP_10,2021-12-31,2022-01-03,0.08537328834038285
Residual_20_VCP_10,2022-03-31,2022-04-01,0.09762118816493359
Residual_20_VCP_10,2022-06-30,2022-07-01,0.1747110036247188
Residual_20_VCP_10,2022-09-30,2022-10-03,0.09013092532425046
Residual_20_VCP_10,2022-12-30,2023-01-02,0.17660004090563622
Residual_20_VCP_10,2023-03-31,2023-04-03,0.17678647594162003
Residual_20_VCP_10,2023-06-30,2023-07-03,0.09075955744357438
Residual_20_VCP_10,2023-09-29,2023-10-02,0.18337751868880356
Residual_20_VCP_10,2023-12-29,2024-01-01,0.17436296013565833
Residual_20_VCP_10,2024-03-29,2024-04-01,0.16882748329470032
Residual_20_VCP_10,2024-06-28,2024-07-01,0.1795351719159986
Residual_20_VCP_10,2024-09-30,2024-10-01,0.09467815349161182
Residual_20_VCP_10,2024-12-31,2025-01-01,0.012742967436324089
Residual_20_VCP_10,2025-03-31,2025-04-01,0.008786329901934155
Residual_20_VCP_10,2025-06-30,2025-07-01,0.09583008283585527
Residual_20_VCP_10,2025-09-30,2025-10-01,0.17731690744406076
Residual_30_VCP_10,2018-03-30,2018-04-02,0.0
Residual_30_VCP_10,2018-06-29,2018-07-02,0.0
Residual_30_VCP_10,2018-09-28,2018-10-01,0.0
Residual_30_VCP_10,2018-12-31,2019-01-01,0.5
Residual_30_VCP_10,2019-03-29,2019-04-01,0.18398093172258842
Residual_30_VCP_10,2019-06-28,2019-07-01,0.17521416535369094
Residual_30_VCP_10,2019-09-30,2019-10-01,0.2541675954186442
Residual_30_VCP_10,2019-12-31,2020-01-01,0.009936203743939345
Residual_30_VCP_10,2020-03-31,2020-04-01,0.17596741423212003
Residual_30_VCP_10,2020-06-30,2020-07-01,0.17088575058702526
Residual_30_VCP_10,2020-09-30,2020-10-01,0.08849673592023723
Residual_30_VCP_10,2020-12-31,2021-01-01,0.009419874697892718
Residual_30_VCP_10,2021-03-31,2021-04-01,0.08832446629419215
Residual_30_VCP_10,2021-06-30,2021-07-01,0.1698102752033091
Residual_30_VCP_10,2021-09-30,2021-10-01,0.3362462207448146
Residual_30_VCP_10,2021-12-31,2022-01-03,0.16579481532638707
Residual_30_VCP_10,2022-03-31,2022-04-01,0.18013701633802365
Residual_30_VCP_10,2022-06-30,2022-07-01,0.1759476121201716
Residual_30_VCP_10,2022-09-30,2022-10-03,0.09013092532425046
Residual_30_VCP_10,2022-12-30,2023-01-02,0.17660004090563622
Residual_30_VCP_10,2023-03-31,2023-04-03,0.17678647594162003
Residual_30_VCP_10,2023-06-30,2023-07-03,0.09075955744357438
Residual_30_VCP_10,2023-09-29,2023-10-02,0.18337751868880356
Residual_30_VCP_10,2023-12-29,2024-01-01,0.17436296013565836
Residual_30_VCP_10,2024-03-29,2024-04-01,0.16882748329470032
Residual_30_VCP_10,2024-06-28,2024-07-01,0.1795351719159986
Residual_30_VCP_10,2024-09-30,2024-10-01,0.09467815349161185
Residual_30_VCP_10,2024-12-31,2025-01-01,0.012742967436324075
Residual_30_VCP_10,2025-03-31,2025-04-01,0.09535576470611434
Residual_30_VCP_10,2025-06-30,2025-07-01,0.1820289432639612
Residual_30_VCP_10,2025-09-30,2025-10-01,0.17731690744406076
Residual_20_VCP_20,2018-03-30,2018-04-02,0.0
Residual_20_VCP_20,2018-06-29,2018-07-02,0.0
Residual_20_VCP_20,2018-09-28,2018-10-01,0.0
Residual_20_VCP_20,2018-12-31,2019-01-01,0.5
Residual_20_VCP_20,2019-03-29,2019-04-01,0.18398093172258842
Residual_20_VCP_20,2019-06-28,2019-07-01,0.17521416535369094
Residual_20_VCP_20,2019-09-30,2019-10-01,0.25416759541864425
Residual_20_VCP_20,2019-12-31,2020-01-01,0.009936203743939338
Residual_20_VCP_20,2020-03-31,2020-04-01,0.17596741423212003
Residual_20_VCP_20,2020-06-30,2020-07-01,0.17088575058702526
Residual_20_VCP_20,2020-09-30,2020-10-01,0.08849673592023723
Residual_20_VCP_20,2020-12-31,2021-01-01,0.009419874697892718
Residual_20_VCP_20,2021-03-31,2021-04-01,0.08832446629419215
Residual_20_VCP_20,2021-06-30,2021-07-01,0.1698102752033091
Residual_20_VCP_20,2021-09-30,2021-10-01,0.25570860564388326
Residual_20_VCP_20,2021-12-31,2022-01-03,0.08537328834038285
Residual_20_VCP_20,2022-03-31,2022-04-01,0.18013701633802365
Residual_20_VCP_20,2022-06-30,2022-07-01,0.1759476121201716
Residual_20_VCP_20,2022-09-30,2022-10-03,0.09013092532425046
Residual_20_VCP_20,2022-12-30,2023-01-02,0.17660004090563622
Residual_20_VCP_20,2023-03-31,2023-04-03,0.17678647594162003
Residual_20_VCP_20,2023-06-30,2023-07-03,0.09075955744357438
Residual_20_VCP_20,2023-09-29,2023-10-02,0.18337751868880356
Residual_20_VCP_20,2023-12-29,2024-01-01,0.17436296013565836
Residual_20_VCP_20,2024-03-29,2024-04-01,0.16882748329470032
Residual_20_VCP_20,2024-06-28,2024-07-01,0.1795351719159986
Residual_20_VCP_20,2024-09-30,2024-10-01,0.09467815349161182
Residual_20_VCP_20,2024-12-31,2025-01-01,0.012742967436324089
Residual_20_VCP_20,2025-03-31,2025-04-01,0.008786329901934155
Residual_20_VCP_20,2025-06-30,2025-07-01,0.09583008283585527
Residual_20_VCP_20,2025-09-30,2025-10-01,0.09416445020523823
