,Baseline,Residual_05,Residual_10,Residual_15,Residual_20,Residual_25,Residual_30,Residual_40
2018-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,-0.002075070494106268,-0.002075070494106268,-0.002075070494106268,-0.002075070494106268,-0.002075070494106268,-0.003508068863265601,-0.002520676739196537,-0.002520676739196537
2019-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,-0.0027505201963075043,-0.0027505201963075043,-0.0027505201963075043,-0.0027505201963075043,-0.0027505201963075043,-0.0005286317889419134,0.0,0.0
2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,-0.005102911385925002,-0.005102911385925002,-0.005102911385925002,-0.005102911385925002,-0.005102911385925002,-0.0035386046667976734,-0.004458311038214258,-0.004458311038214258
2019-01-08,-0.007997285606466398,-0.007997285606466398,-0.007997285606466398,-0.007997285606466398,-0.007997285606466398,-0.004935005717147445,-0.007164939792728364,-0.007164939792728364
2019-01-09,-0.00652447139985457,-0.00652447139985457,-0.00652447139985457,-0.00652447139985457,-0.00652447139985457,-0.00335752988696425,-0.008029121924761129,-0.008029121924761129
2019-01-10,-0.008156670321328385,-0.008156670321328385,-0.008156670321328385,-0.008156670321328385,-0.008156670321328385,-0.0038777577694998344,-0.008461307862310141,-0.008461307862310141
2019-01-11,-0.007399649103859263,-0.007399649103859263,-0.007399649103859263,-0.007399649103859263,-0.007399649103859263,-0.00478094591365974,-0.009053916834649733,-0.009053916834649733
2019-01-14,-0.011807104787740497,-0.011807104787740497,-0.011807104787740497,-0.011807104787740497,-0.011807104787740497,-0.01015896117438786,-0.012520325659928444,-0.012520325659928444
2019-01-15,-0.005001260269105523,-0.005001260269105523,-0.005001260269105523,-0.005001260269105523,-0.005001260269105523,-0.003181577462274987,-0.004316958679629113,-0.004316958679629113
2019-01-16,-0.006385206391092968,-0.006385206391092968,-0.006385206391092968,-0.006385206391092968,-0.006385206391092968,-0.005648408234158797,-0.00516473725875688,-0.00516473725875688
2019-01-17,-0.0006995935964512201,-0.0006995935964512201,-0.0006995935964512201,-0.0006995935964512201,-0.0006995935964512201,-0.0020247420041806796,-0.004712802696459573,-0.004712802696459573
2019-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-21,-0.00015559756606786657,-0.00015559756606786657,-0.00015559756606786657,-0.00015559756606786657,-0.00015559756606786657,-0.0002373128049815154,-0.0001823065113120137,-0.0001823065113120137
2019-01-22,-0.0007862013066054496,-0.0007862013066054496,-0.0007862013066054496,-0.0007862013066054496,-0.0007862013066054496,-9.03376383933896e-05,0.0,0.0
2019-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007103362814112613,-0.0007103362814112613
2019-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-30,-0.00257461343728993,-0.00257461343728993,-0.00257461343728993,-0.00257461343728993,-0.00257461343728993,-0.00044854162933161135,-0.0025050007318436762,-0.0025050007318436762
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,-0.010053532733626969,-0.010053532733626969,-0.010053532733626969,-0.010053532733626969,-0.010053532733626969,-0.009159836249454156,-0.008167376260776682,-0.008167376260776682
2019-02-04,-0.014303856853416508,-0.014303856853416508,-0.014303856853416508,-0.014303856853416508,-0.014303856853416508,-0.011690413475769268,-0.008674712527654505,-0.008674712527654505
2019-02-05,-0.011283623498279272,-0.011283623498279272,-0.011283623498279272,-0.011283623498279272,-0.011283623498279272,-0.009482370654835814,-0.007060549732782584,-0.007060549732782584
2019-02-06,-0.012202991830177257,-0.012202991830177257,-0.012202991830177257,-0.012202991830177257,-0.012202991830177257,-0.009568666889001043,-0.009518205825789772,-0.009518205825789772
2019-02-07,-0.011222410324288945,-0.011222410324288945,-0.011222410324288945,-0.011222410324288945,-0.011222410324288945,-0.008069298479149611,-0.0072117464209626725,-0.0072117464209626725
2019-02-08,-0.010489884453775633,-0.010489884453775633,-0.010489884453775633,-0.010489884453775633,-0.010489884453775633,-0.006505076019738487,-0.00619384971328707,-0.00619384971328707
2019-02-11,-0.011184012239885188,-0.011184012239885188,-0.011184012239885188,-0.011184012239885188,-0.011184012239885188,-0.006917539856459487,-0.0063010463749562096,-0.0063010463749562096
2019-02-12,-0.016029300344823083,-0.016029300344823083,-0.016029300344823083,-0.016029300344823083,-0.016029300344823083,-0.01214406656795275,-0.011815913757359908,-0.011815913757359908
2019-02-13,-0.016030842733237516,-0.016030842733237516,-0.016030842733237516,-0.016030842733237516,-0.016030842733237516,-0.011818532020321348,-0.013310720796254283,-0.013310720796254283
2019-02-14,-0.016465359800136192,-0.016465359800136192,-0.016465359800136192,-0.016465359800136192,-0.016465359800136192,-0.012654269586212186,-0.010734440618186403,-0.010734440618186403
2019-02-15,-0.013264690095908582,-0.013264690095908582,-0.013264690095908582,-0.013264690095908582,-0.013264690095908582,-0.00945368820596637,-0.008710006571528539,-0.008710006571528539
2019-02-18,-0.01542033051044489,-0.01542033051044489,-0.01542033051044489,-0.01542033051044489,-0.01542033051044489,-0.01115725954794744,-0.01110935564469584,-0.01110935564469584
2019-02-19,-0.01150836287208401,-0.01150836287208401,-0.01150836287208401,-0.01150836287208401,-0.01150836287208401,-0.0067669755977519674,-0.006336171667464363,-0.006336171667464363
2019-02-20,-0.013755283421883813,-0.013755283421883813,-0.013755283421883813,-0.013755283421883813,-0.013755283421883813,-0.009515918965020798,-0.009303994234750146,-0.009303994234750146
2019-02-21,-0.01656681639562252,-0.01656681639562252,-0.01656681639562252,-0.01656681639562252,-0.01656681639562252,-0.00987880719052081,-0.009366426930763394,-0.009366426930763394
2019-02-22,-0.01482215079130289,-0.01482215079130289,-0.01482215079130289,-0.01482215079130289,-0.01482215079130289,-0.009511860716332698,-0.00869657696770132,-0.00869657696770132
2019-02-25,-0.009067662842247137,-0.009067662842247137,-0.009067662842247137,-0.009067662842247137,-0.009067662842247137,-0.005174521124680531,-0.005075045874022077,-0.005075045874022077
2019-02-26,-0.010679495348886014,-0.010679495348886014,-0.010679495348886014,-0.010679495348886014,-0.010679495348886014,-0.006430155474218768,-0.004772607378967453,-0.004772607378967453
2019-02-27,-0.009062118044797063,-0.009062118044797063,-0.009062118044797063,-0.009062118044797063,-0.009062118044797063,-0.00777507631389962,-0.008920975735843162,-0.008920975735843162
2019-02-28,-0.00497988945925254,-0.00497988945925254,-0.00497988945925254,-0.00497988945925254,-0.00497988945925254,-0.004608158808334761,-0.004703663534422087,-0.004703663534422087
2019-03-01,-0.0040210968080443,-0.0040210968080443,-0.0040210968080443,-0.0040210968080443,-0.0040210968080443,-0.003638290990454096,-0.005247305235518862,-0.005247305235518862
2019-03-04,-0.009839283911697194,-0.009839283911697194,-0.009839283911697194,-0.009839283911697194,-0.009839283911697194,-0.010785472472554458,-0.011030931365244356,-0.011030931365244356
2019-03-05,-0.01191629894435009,-0.01191629894435009,-0.01191629894435009,-0.01191629894435009,-0.01191629894435009,-0.012433259565640231,-0.013185668403899897,-0.013185668403899897
2019-03-06,-0.00763434908099947,-0.00763434908099947,-0.00763434908099947,-0.00763434908099947,-0.00763434908099947,-0.009980365751033227,-0.01319392160752797,-0.01319392160752797
